epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,16715.8,0.42714,0.36044,0.91029,0.49981,0.4932,0.48141,0.24183,1.90601,1.73683,1.76977,0.000364,0.000364,0.000364
108,16869.7,0.4279,0.36234,0.91159,0.49953,0.49411,0.48159,0.24239,1.90699,1.73633,1.77064,0.000358,0.000358,0.000358
109,17023.3,0.42592,0.35897,0.91052,0.49868,0.49067,0.48145,0.24234,1.90832,1.73527,1.77179,0.000352,0.000352,0.000352
110,17178.9,0.4222,0.353,0.9079,0.49767,0.49043,0.48196,0.24215,1.90874,1.73474,1.77245,0.000346,0.000346,0.000346
111,17334.5,0.42358,0.35603,0.90948,0.49906,0.49354,0.48161,0.24214,1.91014,1.73441,1.77403,0.00034,0.00034,0.00034
112,17490.6,0.42343,0.35643,0.90952,0.46852,0.51626,0.48265,0.24265,1.91113,1.73383,1.77488,0.000334,0.000334,0.000334
113,17645.7,0.41768,0.35002,0.90736,0.46784,0.51302,0.48223,0.2426,1.91199,1.73334,1.77577,0.000328,0.000328,0.000328
114,17802.3,0.41484,0.34738,0.90633,0.46836,0.51436,0.48254,0.24306,1.91277,1.7331,1.77667,0.000322,0.000322,0.000322
115,17957.1,0.41366,0.34731,0.9073,0.46939,0.51668,0.48167,0.24318,1.91377,1.73315,1.77735,0.000316,0.000316,0.000316
116,18110.8,0.41474,0.34692,0.90549,0.47051,0.52666,0.48249,0.24276,1.91413,1.73318,1.77789,0.00031,0.00031,0.00031
117,18266.2,0.41514,0.34625,0.90614,0.4729,0.52572,0.48296,0.24263,1.9151,1.73309,1.7793,0.000304,0.000304,0.000304
118,18421.8,0.41195,0.34665,0.9055,0.47302,0.52349,0.48224,0.2434,1.91609,1.73316,1.78035,0.000298,0.000298,0.000298
119,18575.8,0.41151,0.34118,0.90665,0.4725,0.52872,0.48265,0.24353,1.91774,1.73341,1.78162,0.000292,0.000292,0.000292
120,18732.9,0.40568,0.34022,0.90322,0.4761,0.52607,0.48403,0.24389,1.91865,1.7329,1.78309,0.000286,0.000286,0.000286
121,18889.2,0.40947,0.34137,0.9064,0.47771,0.51991,0.48383,0.24415,1.91958,1.73254,1.78415,0.00028,0.00028,0.00028
122,19044.7,0.40316,0.33509,0.90012,0.47946,0.52866,0.4796,0.24222,1.92013,1.73263,1.78472,0.000274,0.000274,0.000274
123,19200.7,0.40403,0.33754,0.90194,0.4802,0.52283,0.48023,0.24221,1.92144,1.73165,1.78591,0.000268,0.000268,0.000268
